ID,Screen,Origin,Epic,Title,Owner,Priority,Dependencies,Acceptance,Status
"DEV-009","DP-009","19","EP-01","Create application","Developer frontend + owning backend","P1","FND-12","Create an App project with required metadata using published contracts and real services | Repeated create command creates one project only | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-010","DP-010","20","EP-01","Create website and templates","Developer frontend + owning backend","P1","FND-12","Create a Site project from a permitted template using published contracts and real services | Unlicensed or incompatible template blocks creation | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-011","DP-011","6","EP-01","Standalone builders","Developer frontend + owning backend","P1","FND-12","Start a supported independent library builder using published contracts and real services | Disallow owner scope combinations excluded by accepted matrix | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-012","DP-012","7","EP-01","Organization library","Developer frontend + owning backend","P1","FND-12","Search and open organization library artifacts using published contracts and real services | Foreign tenant artifacts never appear | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-013","DP-013","21","EP-02","Application workspace","Developer frontend + owning backend","P1","FND-12","Open App resources through its workspace using published contracts and real services | Project ID and app ID mismatch is denied | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-014","DP-014","22","EP-02","Website workspace","Developer frontend + owning backend","P1","FND-12","Open Site authoring resources through its workspace using published contracts and real services | Site publication authority stays with Tenant Sites | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-015","DP-015","9","EP-02","Link library resource to project","Developer frontend + owning backend","P1","FND-12","Review and install a library resource in a project using published contracts and real services | Missing capabilities or dependencies block installation | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-016","DP-016","72","EP-02","Link confirmation and dependency updates","Developer frontend + owning backend","P1","FND-12","Confirm library link and dependency update using published contracts and real services | Upgrade cannot silently change pinned consumers | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-017","DP-017","93","EP-02","Project export and import dry run","Developer frontend + owning backend","P1","FND-12","Dry-run portable import with explicit mappings using published contracts and real services | No destination writes until all required checks pass | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-018","DP-018","94","EP-02","Library package release and overlays","Developer frontend + owning backend","P1","FND-12","Publish managed library package and review overlays using published contracts and real services | Published source immutable; conflicts block dependent upgrade | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-019","DP-019","104","EP-02","Package retirement and uninstall review","Developer frontend + owning backend","P1","FND-12","Review retirement and scoped uninstall using published contracts and real services | Selected project references must be remapped before uninstall | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-020","DP-020","8","EP-02","Reusable component builder","Developer frontend + owning backend","P1","FND-12","Edit a reusable component and save a revision using published contracts and real services | Managed published source cannot be mutated | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-021","DP-021","56","EP-02","Component lifecycle management","Developer frontend + owning backend","P1","FND-12","Manage component lifecycle and consumers using published contracts and real services | Retirement blocked by unresolved dependencies | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-022","DP-022","75","EP-02","Project lifecycle and general settings","Developer frontend + owning backend","P1","FND-12","Manage project lifecycle and settings using published contracts and real services | Archive/delete review preserves dependent records and ownership | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-023","DP-023","14","EP-02","Project settings and access","Developer frontend + owning backend","P1","FND-12","Manage authorized project collaborators using published contracts and real services | Role escalation beyond caller authority denied | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-024","DP-024","76","EP-02","Developer command center and utilities","Developer frontend + owning backend","P1","FND-12","Use command palette, notifications, launcher and profile using published contracts and real services | Every utility rechecks target access and preserves context | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-025","DP-025","16","EP-02","Navigation and recovery states","Developer frontend + owning backend","P1","FND-12","Navigate document tabs and recover unsaved edits using published contracts and real services | Scope switch cannot restore another tenant's content | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-026","DP-026","74","EP-02","Loading empty error and access states","Developer frontend + owning backend","P1","FND-12","Recover loading/empty/error/forbidden/offline states using published contracts and real services | Retry preserves scope and never claims unsaved work saved | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-027","DP-027","23","EP-03","Page tree and page creation","Web Studio + Tenant Sites","P2","FND-12","Create and reorder pages in the page tree using published contracts and real services | Duplicate routes and navigation cycles rejected | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-028","DP-028","4","EP-03","Website visual builder","Web Studio + Tenant Sites","P2","FND-12","Insert and configure a responsive website section using published contracts and real services | Invalid nesting and unsafe content cannot be published | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-029","DP-029","24","EP-03","CMS collections and records","Web Studio + Tenant Sites","P2","FND-12","Browse CMS records with scoped filters using published contracts and real services | Record pagination cannot bypass tenant/field policy | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-030","DP-030","25","EP-03","Collection schema and item editor","Web Studio + Tenant Sites","P2","FND-12","Edit collection schema and a synthetic item using published contracts and real services | Breaking schema changes require migration review | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-031","DP-031","26","EP-03","Blog publishing workspace","Web Studio + Tenant Sites","P2","FND-12","Manage draft and scheduled blog content using published contracts and real services | Draft posts cannot leak to anonymous delivery | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-032","DP-032","27","EP-03","Blog post editor","Web Studio + Tenant Sites","P2","FND-12","Edit and preview a blog post using published contracts and real services | Unsafe markup and missing required metadata block publish | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-033","DP-033","28","EP-03","Asset library and upload","Web Studio + Tenant Sites","P2","FND-12","Upload and reuse a permitted asset using published contracts and real services | Malicious MIME/type and excessive size quarantined/rejected | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-034","DP-034","29","EP-03","Navigation menu builder","Web Studio + Tenant Sites","P2","FND-12","Build nested navigation menus using published contracts and real services | Cycles and inaccessible targets identified | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-035","DP-035","30","EP-03","SEO metadata and redirects","Web Studio + Tenant Sites","P2","FND-12","Configure metadata and redirects using published contracts and real services | Redirect loops and unsafe external targets rejected | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-036","DP-036","95","EP-03","Localization and RTL workbench","Web Studio + Tenant Sites","P2","FND-12","Translate and preview RTL with ICU validation using published contracts and real services | Missing required translations block locale publication | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-037","DP-037","96","EP-03","Public access and consent","Web Studio + Tenant Sites","P2","FND-12","Configure anonymous access and optional consent using published contracts and real services | Reject/accept have equal prominence; optional tracking defaults off | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-038","DP-038","31","EP-03","A/B experiment design","Web Studio + Tenant Sites","P2","FND-12","Configure a consent-aware experiment using published contracts and real services | Unapproved tracking cannot activate | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-039","DP-039","32","EP-03","Website commerce orders","Web Studio + Tenant Sites","P2","FND-12","Inspect site commerce order handoff using published contracts and real services | Developer does not duplicate financial posting authority | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-040","DP-040","33","EP-03","Form submissions inbox","Web Studio + Tenant Sites","P2","FND-12","Review form submissions under policy using published contracts and real services | Export remains separately permission checked | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-041","DP-041","34","EP-03","Site settings and domains","Web Studio + Tenant Sites","P2","FND-12","Configure site domains and settings using published contracts and real services | Unverified domain cannot become active | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-042","DP-042","35","EP-03","Site revisions and rollback","Web Studio + Tenant Sites","P2","FND-12","Compare site revisions and request compatible recovery using published contracts and real services | No blind schema rollback or silent content loss | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-043","DP-043","5","EP-04","Application visual builder","Developer frontend + owning backend","P2","FND-12","Compose an application screen from approved components using published contracts and real services | Hidden fields remain protected by server policy | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-044","DP-044","36","EP-04","Forms catalog","Developer frontend + owning backend","P2","FND-12","Find and create a form artifact using published contracts and real services | Unsupported project/library scope denied | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-045","DP-045","37","EP-04","Form visual builder","Developer frontend + owning backend","P2","FND-12","Author validated fields and save a form revision using published contracts and real services | Required validation runs server-side as well as preview | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-046","DP-046","38","EP-04","Advanced forms and field library","Developer frontend + owning backend","P2","FND-12","Compose advanced conditional fields using published contracts and real services | Hidden sensitive fields do not enter unauthorized responses | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-047","DP-047","40","EP-04","Dashboard catalog and creation","Developer frontend + owning backend","P2","FND-12","Create and organize dashboards using published contracts and real services | Source queries respect viewer record/field policy | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-048","DP-048","41","EP-04","Dashboard visual builder","Developer frontend + owning backend","P2","FND-12","Bind dashboard widgets to governed metrics using published contracts and real services | Missing units or incompatible field types diagnosed | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-049","DP-049","42","EP-04","Data objects catalog","Developer frontend + owning backend","P2","FND-12","Find and create data objects using published contracts and real services | Tenant-owned object schema cannot escape scope | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-050","DP-050","43","EP-04","Object schema and relationships","Developer frontend + owning backend","P2","FND-12","Define relationships and safe schema evolution using published contracts and real services | Invalid references and destructive changes blocked | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-051","DP-051","45","EP-04","Decision table and rule designer","Developer frontend + owning backend","P2","FND-12","Author decision-table rules and simulate using published contracts and real services | Overlapping or missing rules produce explicit diagnostics | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-052","DP-052","44","EP-04","BPMN process designer","Developer frontend + owning backend","P2","FND-12","Model BPMN process and compensation using published contracts and real services | Unsupported node semantics fail validation | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-053","DP-053","39","EP-04","Workflow catalog and creation","Developer frontend + owning backend","P2","FND-12","Create and open a workflow using published contracts and real services | Invalid starter schema fails without partial persistence | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-054","DP-054","11","EP-04","Workflow and interaction builder","Developer frontend + owning backend","P2","FND-12","Connect typed workflow steps and simulate execution using published contracts and real services | Invalid cycles and duplicate business effects are rejected | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-055","DP-055","47","EP-04","Logic script workbench","Developer frontend + owning backend","P2","FND-12","Author a bounded script and run in sandbox using published contracts and real services | Ambient network/database and resource escape denied | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-056","DP-056","48","EP-04","Mobile app visual builder","Developer frontend + owning backend","P2","FND-12","Compose mobile screens with adaptive controls using published contracts and real services | Device permission/offline conflict behavior explicit | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-057","DP-057","49","EP-04","Application navigation customization","Developer frontend + owning backend","P2","FND-12","Configure application navigation using published contracts and real services | Hidden menu is never treated as server authorization | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-058","DP-058","105","EP-04","Report and metric designer","Developer frontend + owning backend","P2","FND-12","Define unit-bearing metric and inspect lineage using published contracts and real services | Exports and aggregations retain row/field policy | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-059","DP-059","106","EP-04","Notification and document templates","Developer frontend + owning backend","P2","FND-12","Author typed message/document template using published contracts and real services | Missing binding blocks test send/publication | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-060","DP-060","107","EP-04","Approval routing and delegation","Developer frontend + owning backend","P2","FND-12","Design independent approval and time-bounded delegation using published contracts and real services | Self approval and escalation bypass denied | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-061","DP-061","10","EP-05","Data and integrations","Developer frontend + owning backend","P2","FND-12","Bind an approved data integration using published contracts and real services | No raw credentials enter the browser | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-062","DP-062","57","EP-05","Connectors catalog and configuration","Developer frontend + owning backend","P2","FND-12","Configure an approved connector definition using published contracts and real services | Credential references resolved only by authorized runtime | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-063","DP-063","59","EP-05","Visual query builder","Developer frontend + owning backend","P2","FND-12","Build a parameterized query using published contracts and real services | Injection and row/field policy bypass denied | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-064","DP-064","60","EP-05","Reusable widget builder","Developer frontend + owning backend","P2","FND-12","Author a reusable widget using published contracts and real services | Unsupported bindings and accessibility defects diagnosed | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-065","DP-065","61","EP-05","ETL pipeline designer","Developer frontend + owning backend","P2","FND-12","Build checkpointed ETL steps using published contracts and real services | Retries cannot duplicate sink writes | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-066","DP-066","46","EP-05","Custom API designer","Developer frontend + owning backend","P2","FND-12","Design a typed API action using published contracts and real services | Breaking within-major contract change blocked | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-067","DP-067","15","EP-05","API and extensions","Developer frontend + owning backend","P2","FND-12","Inspect API and extension capabilities using published contracts and real services | Unapproved capabilities cannot execute | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-068","DP-068","65","EP-05","SDK documentation and quickstart","Developer frontend + owning backend","P2","FND-12","Use SDK quickstart against approved contracts using published contracts and real services | Documentation example cannot imply unverified endpoint support | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-069","DP-069","108","EP-05","API contract publication and consumers","Developer frontend + owning backend","P2","FND-12","Review API version compatibility and consumers using published contracts and real services | Required field removal cannot publish within same major | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-070","DP-070","68","EP-05","Extensions catalog","Developer frontend + owning backend","P2","FND-12","Inspect installed/available extensions using published contracts and real services | Untrusted extension cannot run from catalog visibility alone | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-071","DP-071","69","EP-05","Extension bundle validation","Developer frontend + owning backend","P2","FND-12","Validate extension bundle and manifest using published contracts and real services | Invalid signature/schema/capability request blocks installation | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-072","DP-072","70","EP-05","Sandbox execution console","Developer frontend + owning backend","P2","FND-12","Execute extension in isolated sandbox using published contracts and real services | Timeout, escape and revoked capability fail closed | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-073","DP-073","71","EP-05","API diagnostics quotas and deprecations","Developer frontend + owning backend","P2","FND-12","Inspect API diagnostics and deprecation using published contracts and real services | No invented support deadline or hidden breaking change | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-074","DP-074","85","EP-05","Events webhooks and redelivery","Developer frontend + owning backend","P2","FND-12","Inspect webhook delivery and scoped replay using published contracts and real services | Replay preserves idempotency and endpoint allowlist | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-075","DP-075","86","EP-05","Schedules jobs and compensation","Developer frontend + owning backend","P2","FND-12","Schedule durable jobs and resume checkpoints using published contracts and real services | Overlap and retries obey concurrency/compensation policy | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-076","DP-076","12","EP-06","Preview and quality","Developer frontend + owning backend","P1","FND-12","Preview with explicit environment and principal using published contracts and real services | Preview never inherits author privileges implicitly | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-077","DP-077","81","EP-06","Test suite designer","Developer frontend + owning backend","P1","FND-12","Author reproducible test scenarios using published contracts and real services | Fixture actions cannot touch production data | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-078","DP-078","82","EP-06","Test run evidence","Developer frontend + owning backend","P1","FND-12","Inspect exact-candidate test evidence using published contracts and real services | Failed or required Not run checks block release | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-079","DP-079","79","EP-06","Changeset and dependency impact","Developer frontend + owning backend","P1","FND-12","Review semantic changes and affected consumers using published contracts and real services | Incomplete dependency extraction blocks release review | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
